,UUID4,ToposText_ID,Place_Name,Reference,Lat,Long,Book,Chapter,Paragraph,Text
4149,376aa4b6-42f3-44fb-a705-50613f670a05,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.21.2,30.0,74.0,6,21,2.0,"In this region, the appearance of the heavens is totally changed, and quite different is the rising of the stars; there are two summers in the year, and two harvests, while the winter intervenes between them during the time that the Etesian winds are blowing: during our winter too, they enjoy light breezes, and their seas are navigable. In this country there are nations and cities which would be found to be quite innumerable, if a person should attempt to enumerate them. For it has been explored not only by the arms of Alexander the Great and of the kings who succeeded him, by Seleucus and Antiochus, who sailed round even to the Caspian and Hyrcanian Sea, and by Patrocles, the admiral of their fleet, but has been treated of by several other Greek writers who resided at the courts of Indian kings, such, for instance, as Megasthenes, and by Dionysius, who was sent thither by Philadelphus, expressly for the purpose: all of whom have enlarged upon the power and vast resources of these nations. Still, however, there is no possibility of being rigorously exact, so different are the accounts given, and often of a nature so incredible. The followers of Alexander the Great have stated in their writings, that there were no less than five thousand cities in that portion of India which they vanquished by force of arms, not one of which was smaller than that of Cos; that its nations were eight in number, that India forms one-third of the whole earth, and that its populations are innumerable — a thing which is certainly far from improbable, seeing that the Indians are nearly the only race of people who have never migrated from their own territories. From the time of Father Liber to that of Alexander the Great, one hundred and fifty-three kings of India are reckoned, extending over a period of six thousand four hundred and fifty-one years and three months. The vast extent of their rivers is quite marvellous; it is stated that on no one day did Alexander the Great sail less than six hundred stadia on the Indus, and still was unable to reach its mouth in less than five months and some few days: and yet it is a well-known fact that this river is not so large as the Ganges. Seneca, one of our fellow-countrymen, who has written a treatise upon the subject of India, has given its rivers as sixty-five in number, and its nations as one hundred and eighteen. The difficulty too would be quite as great, if we were to attempt to enumerate its mountains. The chains of Emaus, of Emodos, of Paropanisus, and of Caucasus, are all connected, the one with the other; and from their foot, the country of India runs down in the form of a vast plain, bearing a very considerable resemblance to that of Egypt. "
4153,336378c5-36dd-45d3-8c8d-9e5a79d02e20,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.21.3,30.0,74.0,6,21,3.0,"However, that we may come to a better understanding relative to the description of these regions, we will follow in the track of Alexander the Great. Diognetus and Baeton, whose duty it was to ascertain the distances and length of his expeditions, have written that from the Caspian Gates to Hecatompylon, the city of the Parthians, the distance is the number of miles which we have already stated; and that from thence to Alexandria, of the Arii, which city was founded by the same king, the distance is five hundred and seventy-five miles; from thence to Prophthasia, the city of the Drangae, one hundred and ninety-nine; from thence to the city of the Arachosii, five hundred and sixty-five; from thence to Ortospanum, one hundred and seventy-five; and from thence to the city built by Alexander, fifty, miles. In some copies, however, the numbers are found differently stated; and we find this last city even placed at the very foot of Mount Caucasus! From this place to the river Cophes and Peucolaitis, a city of India, is two hundred and thirty-seven miles; from thence to the river Indus and the city of Taxilla sixty; from thence to the famous river Hydaspes one hundred and twenty; and from thence to the Hypasis, a river no less famous, two hundred and ninety miles, and three hundred and ninety paces. This last was the extreme limit of the expedition of Alexander, though he crossed the river and dedicated certain altars on the opposite side. The dispatches written by order of that king fully agree with the distances above stated. "
4154,a06b9e72-c351-43da-bece-92783fa6ba19,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.21.3,25.4487,68.3192,6,21,3.0,"However, that we may come to a better understanding relative to the description of these regions, we will follow in the track of Alexander the Great. Diognetus and Baeton, whose duty it was to ascertain the distances and length of his expeditions, have written that from the Caspian Gates to Hecatompylon, the city of the Parthians, the distance is the number of miles which we have already stated; and that from thence to Alexandria, of the Arii, which city was founded by the same king, the distance is five hundred and seventy-five miles; from thence to Prophthasia, the city of the Drangae, one hundred and ninety-nine; from thence to the city of the Arachosii, five hundred and sixty-five; from thence to Ortospanum, one hundred and seventy-five; and from thence to the city built by Alexander, fifty, miles. In some copies, however, the numbers are found differently stated; and we find this last city even placed at the very foot of Mount Caucasus! From this place to the river Cophes and Peucolaitis, a city of India, is two hundred and thirty-seven miles; from thence to the river Indus and the city of Taxilla sixty; from thence to the famous river Hydaspes one hundred and twenty; and from thence to the Hypasis, a river no less famous, two hundred and ninety miles, and three hundred and ninety paces. This last was the extreme limit of the expedition of Alexander, though he crossed the river and dedicated certain altars on the opposite side. The dispatches written by order of that king fully agree with the distances above stated. "
4155,d029f6cc-7bd1-4f9b-a20b-a26fbb635457,https://topostext.org/place/312721WHyd,Hydaspes,urn:cts:latinLit:phi0978.phi001:6.21.3,31.17904,72.13785,6,21,3.0,"However, that we may come to a better understanding relative to the description of these regions, we will follow in the track of Alexander the Great. Diognetus and Baeton, whose duty it was to ascertain the distances and length of his expeditions, have written that from the Caspian Gates to Hecatompylon, the city of the Parthians, the distance is the number of miles which we have already stated; and that from thence to Alexandria, of the Arii, which city was founded by the same king, the distance is five hundred and seventy-five miles; from thence to Prophthasia, the city of the Drangae, one hundred and ninety-nine; from thence to the city of the Arachosii, five hundred and sixty-five; from thence to Ortospanum, one hundred and seventy-five; and from thence to the city built by Alexander, fifty, miles. In some copies, however, the numbers are found differently stated; and we find this last city even placed at the very foot of Mount Caucasus! From this place to the river Cophes and Peucolaitis, a city of India, is two hundred and thirty-seven miles; from thence to the river Indus and the city of Taxilla sixty; from thence to the famous river Hydaspes one hundred and twenty; and from thence to the Hypasis, a river no less famous, two hundred and ninety miles, and three hundred and ninety paces. This last was the extreme limit of the expedition of Alexander, though he crossed the river and dedicated certain altars on the opposite side. The dispatches written by order of that king fully agree with the distances above stated. "
4156,65790ac1-9cf7-41b6-9390-7963134182a3,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.21.4,23.7818,89.8009,6,21,4.0,"The remaining distances beyond the above point were ascertained on the expedition of Seleucus Nicator. They are, to the river Sydrus, one hundred and sixty-eight miles; to the river Jomanes, the same; some copies, however, add to this last distance five miles; thence to the Ganges, one hundred and twelve miles; to Rhodapha, five hundred and sixty-nine — though, according to some writers, this last distance is only three hundred and twenty-five miles; to the town of Calinipaxa, one hundred and sixty-seven, according to some, two hundred and sixty-five; thence to the confluence of the river Jomanes and Ganges, six hundred and twenty-five; most writers, however, add thirteen miles to this last distance; thence to the city of Palibothra, four hundred and twenty-five — and thence to the mouth of the Ganges, six hundred and thirty-seven miles and a half. "
4157,c8238ba9-1b15-4e29-9dd4-835a22940452,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.21.4,23.7818,89.8009,6,21,4.0,"The remaining distances beyond the above point were ascertained on the expedition of Seleucus Nicator. They are, to the river Sydrus, one hundred and sixty-eight miles; to the river Jomanes, the same; some copies, however, add to this last distance five miles; thence to the Ganges, one hundred and twelve miles; to Rhodapha, five hundred and sixty-nine — though, according to some writers, this last distance is only three hundred and twenty-five miles; to the town of Calinipaxa, one hundred and sixty-seven, according to some, two hundred and sixty-five; thence to the confluence of the river Jomanes and Ganges, six hundred and twenty-five; most writers, however, add thirteen miles to this last distance; thence to the city of Palibothra, four hundred and twenty-five — and thence to the mouth of the Ganges, six hundred and thirty-seven miles and a half. "
4158,c5ffd165-baf2-426f-bc92-ff38ac94e423,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.21.4,23.7818,89.8009,6,21,4.0,"The remaining distances beyond the above point were ascertained on the expedition of Seleucus Nicator. They are, to the river Sydrus, one hundred and sixty-eight miles; to the river Jomanes, the same; some copies, however, add to this last distance five miles; thence to the Ganges, one hundred and twelve miles; to Rhodapha, five hundred and sixty-nine — though, according to some writers, this last distance is only three hundred and twenty-five miles; to the town of Calinipaxa, one hundred and sixty-seven, according to some, two hundred and sixty-five; thence to the confluence of the river Jomanes and Ganges, six hundred and twenty-five; most writers, however, add thirteen miles to this last distance; thence to the city of Palibothra, four hundred and twenty-five — and thence to the mouth of the Ganges, six hundred and thirty-seven miles and a half. "
4160,92c846c9-4152-4558-a5b1-3f1752de70a0,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.21.5,23.7818,89.8009,6,21,5.0,"The nations whom it may be not altogether inopportune to mention, after passing the Emodian Mountains, a cross range of which is called ""Imaus,"" a word which, in the language of the natives, signifies ""snowy,"" are the Isari, the Cosyri, the Izi, and, upon the chain of mountains, the Chisiotosagi, with numerous peoples, which have the surname of Brachmanae, among whom are the Maccocalingae. There are also the rivers Prinas and Cainas, which last flows into the Ganges, both of them navigable streams. The nation of the Calingae comes nearest to the sea, and above them are the Mandei and the Malli. In the territory of the last-named people is a mountain called Mallus: the boundary of this region is the river Ganges. "
4161,f2ad75e4-b9d7-4465-8fa2-ff8a7afe86ef,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.21.5,23.7818,89.8009,6,21,5.0,"The nations whom it may be not altogether inopportune to mention, after passing the Emodian Mountains, a cross range of which is called ""Imaus,"" a word which, in the language of the natives, signifies ""snowy,"" are the Isari, the Cosyri, the Izi, and, upon the chain of mountains, the Chisiotosagi, with numerous peoples, which have the surname of Brachmanae, among whom are the Maccocalingae. There are also the rivers Prinas and Cainas, which last flows into the Ganges, both of them navigable streams. The nation of the Calingae comes nearest to the sea, and above them are the Mandei and the Malli. In the territory of the last-named people is a mountain called Mallus: the boundary of this region is the river Ganges. "
4164,c54ecd46-2924-45de-a46c-c720895fc12d,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.1,23.7818,89.8009,6,22,1.0,"THE GANGES: Some writers have stated that this river, like the Nile, takes its rise from unknown sources, and, in a similar manner, waters the neighbouring territory; others, again, say that it rises in the mountains of Scythia. They state also that nineteen rivers discharge their waters into it; those among them that are navigable, besides the rivers already mentioned, are the Condochates, the Erannoboas, the Cosoagus, and the Sonus. Other writers again say that it bursts forth at its very source with a loud noise, hurling itself over rocks and precipices; and that after it has reached the plains, its waters become more tranquil, and it pauses for a time in a certain lake, after which it flows gently on. They say also that it is eight miles in breadth, where it is the very narrowest, and one hundred stadia where it is but moderately wide, and that it is nowhere less than twenty paces in depth. The last nation situate on the banks of the Ganges is that of the Gangarides Calingae; the city where their king dwells has the name of Protalis. This king has sixty thousand foot-soldiers, one thousand horse, and seven hundred elephants, always caparisoned ready for battle. The people of the more civilized nations of India are divided into several classes. One of these classes tills the earth, another attends to military affairs, others again are occupied in mercantile pursuits, while the wisest and the most wealthy among them have the management of the affairs of state — act as judges, and give counsel to the king. The fifth class, entirely devoting themselves to the pursuit of wisdom, which in these countries is almost held in the same veneration as religion, always end their life by a voluntary death upon the lighted pile. In addition to these, there is a class in a half-savage state, and doomed to endless labour; by means of their exertions, all the classes previously mentioned are supported. It is their duty to hunt the elephant, and to tame him when captured; for it is by the aid of these animals that they plough; by these animals they are conveyed from place to place; these in especial they look upon as constituting their flocks and herds; by their aid they wage their wars, and fight in defence of their territories. Strength, age, and size, are the points usually considered in making choice of these animals. "
4165,c0ad67d0-3f51-47b2-965e-8b9662ba1838,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.22.1,30.0,74.0,6,22,1.0,"THE GANGES: Some writers have stated that this river, like the Nile, takes its rise from unknown sources, and, in a similar manner, waters the neighbouring territory; others, again, say that it rises in the mountains of Scythia. They state also that nineteen rivers discharge their waters into it; those among them that are navigable, besides the rivers already mentioned, are the Condochates, the Erannoboas, the Cosoagus, and the Sonus. Other writers again say that it bursts forth at its very source with a loud noise, hurling itself over rocks and precipices; and that after it has reached the plains, its waters become more tranquil, and it pauses for a time in a certain lake, after which it flows gently on. They say also that it is eight miles in breadth, where it is the very narrowest, and one hundred stadia where it is but moderately wide, and that it is nowhere less than twenty paces in depth. The last nation situate on the banks of the Ganges is that of the Gangarides Calingae; the city where their king dwells has the name of Protalis. This king has sixty thousand foot-soldiers, one thousand horse, and seven hundred elephants, always caparisoned ready for battle. The people of the more civilized nations of India are divided into several classes. One of these classes tills the earth, another attends to military affairs, others again are occupied in mercantile pursuits, while the wisest and the most wealthy among them have the management of the affairs of state — act as judges, and give counsel to the king. The fifth class, entirely devoting themselves to the pursuit of wisdom, which in these countries is almost held in the same veneration as religion, always end their life by a voluntary death upon the lighted pile. In addition to these, there is a class in a half-savage state, and doomed to endless labour; by means of their exertions, all the classes previously mentioned are supported. It is their duty to hunt the elephant, and to tame him when captured; for it is by the aid of these animals that they plough; by these animals they are conveyed from place to place; these in especial they look upon as constituting their flocks and herds; by their aid they wage their wars, and fight in defence of their territories. Strength, age, and size, are the points usually considered in making choice of these animals. "
4166,36943213-0224-456b-b5f1-c9d15fab8813,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.2,23.7818,89.8009,6,22,2.0,"In the Ganges there is an island of very considerable size, inhabited by a single nation; it is called Modogalinga. Beyond the Ganges are situate the Modubae, the Molindae, the Uberae, with a magnificent city of the same name, the Modresi, the Preti, the Caloae, the Sasuri, the Passalae, the Colobae, the Orumcolae, the Abali, and the Thalutae. The king of the last-named people has fifty thousand foot-soldiers, four thousand horse, and four hundred armed elephants. We next come to a still more powerful nation, the Andarae, who dwell in numerous villages, as well as thirty cities fortified with walls and towers. They furnish for their king one hundred thousand foot, two thousand horse, and a thousand elephants. The country of the Dardae is the most productive of gold, that of the Setae of silver. "
4167,d35b29d0-62b7-4b4d-a25e-b6f09a0669c3,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.2,23.7818,89.8009,6,22,2.0,"In the Ganges there is an island of very considerable size, inhabited by a single nation; it is called Modogalinga. Beyond the Ganges are situate the Modubae, the Molindae, the Uberae, with a magnificent city of the same name, the Modresi, the Preti, the Caloae, the Sasuri, the Passalae, the Colobae, the Orumcolae, the Abali, and the Thalutae. The king of the last-named people has fifty thousand foot-soldiers, four thousand horse, and four hundred armed elephants. We next come to a still more powerful nation, the Andarae, who dwell in numerous villages, as well as thirty cities fortified with walls and towers. They furnish for their king one hundred thousand foot, two thousand horse, and a thousand elephants. The country of the Dardae is the most productive of gold, that of the Setae of silver. "
4168,85cf6687-93e5-4137-98e6-71a9749cb15f,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.22.3,30.0,74.0,6,22,3.0,"But more famous and more powerful than any nation, not only in these regions, but throughout almost the whole of India, are the Prasii, who dwell in a city of vast extent and of remarkable opulence, called Palibothra; from which circumstance some writers have given to the people themselves the name of Palibothri, and, indeed, to the whole tract of country between the Ganges and the Indus. These people keep on daily pay in their king's service an army, consisting of six hundred thousand foot, thirty thousand horse, and nine thousand elephants, from which we may easily form a conjecture as to the vast extent of their resources. Behind these people, and lying still more in the interior, are the Monedes, and the Suari, among whom is a mountain known as Maleus, upon which the shadow falls to the north in winter, and to the south in summer, six months alternately. In this district the Constellation of the Greater Bear is seen at only one period in the year, and then but for fifteen days, according to what Baeton states. Megasthenes, however, informs us that the same is the case also in many other localities of India. The South Pole is by the Indians called Diamasa. "
4169,ee0663b6-c723-4b1b-91c1-c5ac7d92b3d7,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.3,23.7818,89.8009,6,22,3.0,"But more famous and more powerful than any nation, not only in these regions, but throughout almost the whole of India, are the Prasii, who dwell in a city of vast extent and of remarkable opulence, called Palibothra; from which circumstance some writers have given to the people themselves the name of Palibothri, and, indeed, to the whole tract of country between the Ganges and the Indus. These people keep on daily pay in their king's service an army, consisting of six hundred thousand foot, thirty thousand horse, and nine thousand elephants, from which we may easily form a conjecture as to the vast extent of their resources. Behind these people, and lying still more in the interior, are the Monedes, and the Suari, among whom is a mountain known as Maleus, upon which the shadow falls to the north in winter, and to the south in summer, six months alternately. In this district the Constellation of the Greater Bear is seen at only one period in the year, and then but for fifteen days, according to what Baeton states. Megasthenes, however, informs us that the same is the case also in many other localities of India. The South Pole is by the Indians called Diamasa. "
4170,2ee2acf9-3406-4e17-8533-6b1a6304bacc,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.22.3,25.4487,68.3192,6,22,3.0,"But more famous and more powerful than any nation, not only in these regions, but throughout almost the whole of India, are the Prasii, who dwell in a city of vast extent and of remarkable opulence, called Palibothra; from which circumstance some writers have given to the people themselves the name of Palibothri, and, indeed, to the whole tract of country between the Ganges and the Indus. These people keep on daily pay in their king's service an army, consisting of six hundred thousand foot, thirty thousand horse, and nine thousand elephants, from which we may easily form a conjecture as to the vast extent of their resources. Behind these people, and lying still more in the interior, are the Monedes, and the Suari, among whom is a mountain known as Maleus, upon which the shadow falls to the north in winter, and to the south in summer, six months alternately. In this district the Constellation of the Greater Bear is seen at only one period in the year, and then but for fifteen days, according to what Baeton states. Megasthenes, however, informs us that the same is the case also in many other localities of India. The South Pole is by the Indians called Diamasa. "
4171,0bda0cf9-e7d4-4cdd-b369-c706092d320e,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.22.3,30.0,74.0,6,22,3.0,"But more famous and more powerful than any nation, not only in these regions, but throughout almost the whole of India, are the Prasii, who dwell in a city of vast extent and of remarkable opulence, called Palibothra; from which circumstance some writers have given to the people themselves the name of Palibothri, and, indeed, to the whole tract of country between the Ganges and the Indus. These people keep on daily pay in their king's service an army, consisting of six hundred thousand foot, thirty thousand horse, and nine thousand elephants, from which we may easily form a conjecture as to the vast extent of their resources. Behind these people, and lying still more in the interior, are the Monedes, and the Suari, among whom is a mountain known as Maleus, upon which the shadow falls to the north in winter, and to the south in summer, six months alternately. In this district the Constellation of the Greater Bear is seen at only one period in the year, and then but for fifteen days, according to what Baeton states. Megasthenes, however, informs us that the same is the case also in many other localities of India. The South Pole is by the Indians called Diamasa. "
4172,25fc1282-e0db-4ce3-bfe3-6ae7edeb0d75,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.4,23.7818,89.8009,6,22,4.0,"The river Jomanes runs into the Ganges through the territory of the Palibothri, between the cities of Methora and Chrysobora. In the regions which lie to the south of the Ganges, the people are tinted by the heat of the sun, so much so as to be quite coloured, but yet not burnt black, like the Aethiopians. The nearer they approach the Indus, the deeper their colour, a proof of the heat of the climate. After leaving the nation of the Prasii, we immediately come to the Indus; in the mountains of the Prasii a race of Pygmies is said to exist. Artemidorus says that between these two rivers there is a distance of two thousand one hundred miles. "
4173,d874d644-0693-4387-b3be-7757593bed97,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.22.4,23.7818,89.8009,6,22,4.0,"The river Jomanes runs into the Ganges through the territory of the Palibothri, between the cities of Methora and Chrysobora. In the regions which lie to the south of the Ganges, the people are tinted by the heat of the sun, so much so as to be quite coloured, but yet not burnt black, like the Aethiopians. The nearer they approach the Indus, the deeper their colour, a proof of the heat of the climate. After leaving the nation of the Prasii, we immediately come to the Indus; in the mountains of the Prasii a race of Pygmies is said to exist. Artemidorus says that between these two rivers there is a distance of two thousand one hundred miles. "
4174,e9f98245-a74a-4f09-b221-72902def29a3,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.22.4,25.4487,68.3192,6,22,4.0,"The river Jomanes runs into the Ganges through the territory of the Palibothri, between the cities of Methora and Chrysobora. In the regions which lie to the south of the Ganges, the people are tinted by the heat of the sun, so much so as to be quite coloured, but yet not burnt black, like the Aethiopians. The nearer they approach the Indus, the deeper their colour, a proof of the heat of the climate. After leaving the nation of the Prasii, we immediately come to the Indus; in the mountains of the Prasii a race of Pygmies is said to exist. Artemidorus says that between these two rivers there is a distance of two thousand one hundred miles. "
4175,3b9ee6d6-11c7-47ce-9ed1-b912cc07aec0,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.22.4,25.4487,68.3192,6,22,4.0,"The river Jomanes runs into the Ganges through the territory of the Palibothri, between the cities of Methora and Chrysobora. In the regions which lie to the south of the Ganges, the people are tinted by the heat of the sun, so much so as to be quite coloured, but yet not burnt black, like the Aethiopians. The nearer they approach the Indus, the deeper their colour, a proof of the heat of the climate. After leaving the nation of the Prasii, we immediately come to the Indus; in the mountains of the Prasii a race of Pygmies is said to exist. Artemidorus says that between these two rivers there is a distance of two thousand one hundred miles. "
4176,6bcab86d-78b4-4d1e-930d-6a543c2c44f7,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.23.1,25.4487,68.3192,6,23,1.0,"THE INDUS: The Indus, called Sindis by the natives, rises in that branch of the Caucasian range which bears the name of Paropanisus, and runs in an easterly direction, receiving in its course the waters of nineteen rivers. The most famous of these are the Hydaspes, into which four other rivers have already discharged themselves, the Cantaba, which receives three other rivers, the Acesinus, and the Hypasis, which last two are navigable themselves. Still however, so moderate, as it were, do the waters of this river show themselves in their course, that it is never more than fifty stadia in width, nor does it ever exceed fifteen paces in depth. Of two islands, which it forms in its course, the one, which is known as Prasiane, is of very considerable size; the other, which is smaller, is called Patale. According to the accounts given by the most moderate writers, this river is navigable for a distance of twelve hundred and fifty miles, and after following the sun's course to the west, in some degree, discharges itself into the ocean. I will here give the distances of various places situate on the coast to the mouth of this river, in a general way, just as I find them stated, although they none of them tally with each other. "
4177,b16d9ea1-2a29-433d-9e3e-a551d9ec52b2,https://topostext.org/place/312721WHyd,Hydaspes,urn:cts:latinLit:phi0978.phi001:6.23.1,31.17904,72.13785,6,23,1.0,"THE INDUS: The Indus, called Sindis by the natives, rises in that branch of the Caucasian range which bears the name of Paropanisus, and runs in an easterly direction, receiving in its course the waters of nineteen rivers. The most famous of these are the Hydaspes, into which four other rivers have already discharged themselves, the Cantaba, which receives three other rivers, the Acesinus, and the Hypasis, which last two are navigable themselves. Still however, so moderate, as it were, do the waters of this river show themselves in their course, that it is never more than fifty stadia in width, nor does it ever exceed fifteen paces in depth. Of two islands, which it forms in its course, the one, which is known as Prasiane, is of very considerable size; the other, which is smaller, is called Patale. According to the accounts given by the most moderate writers, this river is navigable for a distance of twelve hundred and fifty miles, and after following the sun's course to the west, in some degree, discharges itself into the ocean. I will here give the distances of various places situate on the coast to the mouth of this river, in a general way, just as I find them stated, although they none of them tally with each other. "
4178,6785056b-39f8-4ac3-9b3f-2526f58de4b0,https://topostext.org/place/293710WAke,Acesinus,urn:cts:latinLit:phi0978.phi001:6.23.1,29.1513,70.7367,6,23,1.0,"THE INDUS: The Indus, called Sindis by the natives, rises in that branch of the Caucasian range which bears the name of Paropanisus, and runs in an easterly direction, receiving in its course the waters of nineteen rivers. The most famous of these are the Hydaspes, into which four other rivers have already discharged themselves, the Cantaba, which receives three other rivers, the Acesinus, and the Hypasis, which last two are navigable themselves. Still however, so moderate, as it were, do the waters of this river show themselves in their course, that it is never more than fifty stadia in width, nor does it ever exceed fifteen paces in depth. Of two islands, which it forms in its course, the one, which is known as Prasiane, is of very considerable size; the other, which is smaller, is called Patale. According to the accounts given by the most moderate writers, this river is navigable for a distance of twelve hundred and fifty miles, and after following the sun's course to the west, in some degree, discharges itself into the ocean. I will here give the distances of various places situate on the coast to the mouth of this river, in a general way, just as I find them stated, although they none of them tally with each other. "
4179,8e5f1839-0c0d-4598-a7fd-b6ab74916e06,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:6.23.2,23.7818,89.8009,6,23,2.0,"From the mouth of the Ganges to the Promontory of the Calingi and the town of Dandaguda, is six hundred and twenty-five miles; from thence to Tropina twelve hundred and twenty-five; from thence to the promontory of Perimula, where is held the most celebrated mart in all India, seven hundred and fifty, and from thence to the city of Patala, in the island just mentioned, six hundred and twenty miles. "
4180,542c7505-ecae-41f2-8326-ee2cabf89e52,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.23.2,30.0,74.0,6,23,2.0,"From the mouth of the Ganges to the Promontory of the Calingi and the town of Dandaguda, is six hundred and twenty-five miles; from thence to Tropina twelve hundred and twenty-five; from thence to the promontory of Perimula, where is held the most celebrated mart in all India, seven hundred and fifty, and from thence to the city of Patala, in the island just mentioned, six hundred and twenty miles. "
4181,a8779e67-23d8-4cab-ae3a-30f59f58264f,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.23.3,25.4487,68.3192,6,23,3.0,"The mountain races between the Indus and the Jomanes are the Cesi, the Cetriboni, who dwell in the woods, and after them the Megallae, whose king possesses five hundred elephants, and an army of horse and foot, the numbers of which are unknown; then the Chrysei, the Parasangae, and the Asmagi, whose territory is infested by wild tigers; these people keep in arms thirty thousand foot, three hundred elephants, and eight hundred horse. They are bounded by the river Indus, and encircled by a range of mountains and deserts for a distance of six hundred and twenty-five miles. Below these deserts are the Dari and the Surve, and then deserts again for one hundred and eighty-seven miles, sands in general encircling these spots just as islands are surrounded by the sea. Below these deserts, again, are the Maltecorae, the Singae, the Marohae, the Rarungae, and the Morontes. These last peoples, who possess the mountains throughout the whole range of country as far as the shores of the ocean, are free, and independent of all kings, and hold numerous cities upon the declivities of the mountains. After them come the Nareae, who are bounded by Capitalia, the most lofty of all the Indian peaks: the inhabitants who dwell on the other side of it have extensive mines of gold and silver. After these again are the Oratae, whose king possesses only ten elephants, but a large army of foot; next come the Suarataratae, who live under the rule of a king as well, but breed no elephants, as they depend solely on their horse and foot; then the Odonbeores, the Arabastree, and the Horacae, which last inhabit a fine city fortified by trenches cut in the marshes. It is quite impossible to approach the city, except by the bridge, as the water in the trenches is full of crocodiles, an animal most insatiate for human flesh. There is another city also in their territory, which has been greatly extolled, Automula by name, situate on the sea-shore, a famous mart, lying at the point of confluence of five rivers: their king possesses sixteen hundred elephants, one hundred and fifty thousand foot, and five thousand horse. The king of the Charmae is a less opulent potentate; he has only sixty elephants and some small remains of his former strength. After these we come to the nation of the Pandae, the only one throughout all India which is ruled by women. It is said that Hercules had but one child of the female sex, for which reason she was his especial favourite, and he bestowed upon her the principal one of these kingdoms. The sovereigns who derive their origin from this female, rule over three hundred towns, and have an army of one hundred and fifty thousand foot, and five hundred elephants. After passing through this list of three hundred cities, we come to the Darangae, the Posingae, the Butae, the Gogaraei, the Umbrae, the Nereae, the Brancosi, the Nobundae, the Cocondae, the Nesei, the Palatitae, the Salobriasae, and the Olostrae, who reach up to the island of Patala, from the extremity of whose shores to the Caspian Gates it is a distance of nineteen hundred and twenty-five miles. "
